cell_id,source_cds,cell,sample,Size_Factor,n.umi,hash_umis_W,pval_W,qval_W,top_to_second_best_ratio_W,top_oligo_W,RTwell,Ligwell,PCR_well,PCR_plate,RT_well,cell_type,num_genes_expressed,g1s_score,g2m_score,proliferation_index,UMAP1,UMAP2,Cluster,Partition,Trametinib_dose,Treatment,hash_plate,replicate,trametinib_dose,treatment,dose,dose_character,cell_line,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,drugname_drugconc
A01_G01_RT_BC_10_Lig_BC_59,U87MG,A01_G01_RT_BC_10_Lig_BC_59,sci3_sciPlex8_FollowUp,1.1787887560393,1060,13,0.0,0.0,11.4587320574163,plate6_0_RIPA56_0.1_rep1,10,59,A01,G01,10,Trametinib_0.0_RIPA56_0.1,773,1.26553399990688,0.0,1.26553399990688,2.47364176463418,-10.3353685013018,5,3,0.0,RIPA56,plate6,rep1,0.0,RIPA56,0.1,0.1,U87MG,773,6.651571873589727,1060,6.966967138613983,113,4.736198448394496,10.660377358490566,11,2.4849066497880004,1.0377358490566038,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_10_Lig_BC_62,U87MG,A01_G01_RT_BC_10_Lig_BC_62,sci3_sciPlex8_FollowUp,0.457058659181276,411,5,1.96827114875178e-112,7.026728001043841e-110,3.98133256748995,plate6_0.01_BMS345541_0.01_rep1,10,62,A01,G01,10,Trametinib_0.01_BMS345541_0.01,339,1.15936332590497,0.0,1.15936332590497,2.9300464506083,-10.3759854904375,5,3,0.01,BMS345541,plate6,rep1,0.01,BMS345541,0.01,0.01,U87MG,339,5.8289456176102075,411,6.021023349349527,42,3.7612001156935624,10.218978102189782,4,1.6094379124341003,0.9732360097323601,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_10_Lig_BC_74,U87MG,A01_G01_RT_BC_10_Lig_BC_74,sci3_sciPlex8_FollowUp,0.840721037326143,756,9,1.51235555098608e-189,6.80559997943736e-187,7.09988317757009,plate10_0_GSK690693_1_rep1,10,74,A01,G01,10,Trametinib_0.0_GSK690693_1.0,491,0.0,2.99729520241199,2.99729520241199,3.30820478152566,-8.8034747711382,5,3,0.0,GSK690693,plate10,rep1,0.0,GSK690693,1.0,1.0,U87MG,491,6.198478716492308,756,6.6293632534374485,236,5.4680601411351315,31.216931216931215,2,1.0986122886681098,0.26455026455026454,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_10_Lig_BC_93,U87MG,A01_G01_RT_BC_10_Lig_BC_93,sci3_sciPlex8_FollowUp,2.45766334985552,2210,10,0.0,0.0,6.18063369854901,plate6_0.01_PHA767491_0.01_rep1,10,93,A01,G01,10,Trametinib_0.01_PHA767491_0.01,1167,1.44812400380537,2.0690299542679,2.41343426309042,2.5470012540751,-8.66123138582326,7,3,0.01,PHA767491,plate6,rep1,0.01,PHA767491,0.01,0.01,U87MG,1167,7.0630481633881725,2210,7.701200180857446,674,6.51471269087253,30.497737556561088,22,3.1354942159291497,0.9954751131221719,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_11_Lig_BC_85,U87MG,A01_G01_RT_BC_11_Lig_BC_85,sci3_sciPlex8_FollowUp,1.07981498312657,971,12,9.65889425132022e-122,3.62208534424508e-119,7.15924506045414,plate9_0.01_Palbociclib_0.01_rep2,11,85,A01,G01,11,Trametinib_0.01_Palbociclib_0.01,771,1.32926192557423,2.32833526836522,2.5679524956999,3.88619936656289,-10.1429618469439,5,3,0.01,Palbociclib,plate9,rep2,0.01,Palbociclib,0.01,0.01,U87MG,771,6.648984550024776,971,6.879355804460439,76,4.343805421853684,7.826982492276004,6,1.9459101490553132,0.6179196704428425,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_11_Lig_BC_96,U87MG,A01_G01_RT_BC_11_Lig_BC_96,sci3_sciPlex8_FollowUp,1.56022700445579,1403,13,0.0,0.0,8.1952296819788,plate11_0_VE821_1_rep2,11,96,A01,G01,11,Trametinib_0.0_VE821_1.0,898,0.824992981775734,2.8715423564961,2.94159844914574,3.14952934932046,-8.54122005617238,5,3,0.0,VE821,plate11,rep2,0.0,VE821,1.0,1.0,U87MG,898,6.80128303447162,1403,7.247080584585756,352,5.8664680569332965,25.089094796863865,24,3.2188758248682006,1.7106200997861727,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_12_Lig_BC_11,U87MG,A01_G01_RT_BC_12_Lig_BC_11,sci3_sciPlex8_FollowUp,0.8818674373011,793,17,3.1138999471121696e-30,5.231351911148439e-28,13.9801111436092,plate9_0_vehicle_0_rep2,12,11,A01,G01,12,Trametinib_0.0_vehicle_0.0,651,1.71124135035881,1.71124135035881,2.30972536400389,1.82046986769967,-10.951565133687,7,3,0.0,vehicle,plate9,rep2,0.0,vehicle,0.0,0.0,U87MG,651,6.480044561926653,793,6.677083461247136,54,4.007333185232471,6.809583858764187,5,1.791759469228055,0.6305170239596469,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_12_Lig_BC_79,U87MG,A01_G01_RT_BC_12_Lig_BC_79,sci3_sciPlex8_FollowUp,0.482636151057601,434,12,6.73047145526669e-26,9.94335608435396e-24,8.98255306775225,plate10_0_vehicle_0_rep1,12,79,A01,G01,12,Trametinib_0.0_vehicle_0.0,348,0.0,0.0,0.0,1.62850285720162,-10.5981029144487,7,3,0.0,vehicle,plate10,rep1,0.0,vehicle,0.0,0.0,U87MG,348,5.855071922202427,434,6.075346031088684,63,4.1588830833596715,14.516129032258066,4,1.6094379124341003,0.9216589861751152,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_12_Lig_BC_93,U87MG,A01_G01_RT_BC_12_Lig_BC_93,sci3_sciPlex8_FollowUp,0.790678118437682,711,9,7.820162208287509e-204,3.69893672451999e-201,6.02601156069364,plate11_0_Nutlin3A_1_rep2,12,93,A01,G01,12,Trametinib_0.0_Nutlin3A_1.0,509,1.5674092501075,0.0,1.5674092501075,1.66796935748391,-11.0086434951983,7,3,0.0,Nutlin3A,plate11,rep2,0.0,Nutlin3A,1.0,1.0,U87MG,509,6.234410725718371,711,6.568077911411976,115,4.7535901911063645,16.17440225035162,2,1.0986122886681098,0.2812939521800281,"[('DMSO_TF', 0.0, 'uM')]"
A01_G01_RT_BC_21_Lig_BC_17,U87MG,A01_G01_RT_BC_21_Lig_BC_17,sci3_sciPlex8_FollowUp,0.709497383351957,638,10,8.86772478798885e-05,0.0065621163431117,5.96508583066628,plate11_0_vehicle_0_rep2,21,17,A01,G01,21,Trametinib_0.0_vehicle_0.0,539,0.0,0.0,0.0,2.32325853061013,-11.0897849670611,5,3,0.0,vehicle,plate11,rep2,0.0,vehicle,0.0,0.0,U87MG,539,6.29156913955832,638,6.459904454377535,18,2.9444389791664403,2.8213166144200628,2,1.0986122886681098,0.3134796238244514,"[('DMSO_TF', 0.0, 'uM')]"
