#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EPOR	SOCS3	9606.ENSP00000222139	9606.ENSP00000330341	0	0	0	0	0	0.520	0	0.812	0.906
EPOR	JAK1	9606.ENSP00000222139	9606.ENSP00000499900	0	0	0	0	0	0.091	0.800	0.842	0.968
EPOR	STAT5B	9606.ENSP00000222139	9606.ENSP00000293328	0	0	0	0	0.056	0	0.500	0.947	0.972
EPOR	STAT5A	9606.ENSP00000222139	9606.ENSP00000341208	0	0	0	0	0.047	0.622	0.500	0.950	0.989
EPOR	JAK2	9606.ENSP00000222139	9606.ENSP00000371067	0	0	0	0	0	0.962	0.800	0.997	0.999
GHR	STAT5B	9606.ENSP00000483403	9606.ENSP00000293328	0	0	0	0	0	0.603	0.500	0.897	0.977
GHR	STAT5A	9606.ENSP00000483403	9606.ENSP00000341208	0	0	0	0	0	0.413	0.500	0.769	0.926
GHR	JAK2	9606.ENSP00000483403	9606.ENSP00000371067	0	0	0	0	0.042	0.787	0.900	0.985	0.999
IFNG	STAT3	9606.ENSP00000229135	9606.ENSP00000264657	0	0	0	0	0.058	0	0	0.905	0.907
IFNG	SOCS1	9606.ENSP00000229135	9606.ENSP00000496577	0	0	0	0	0.197	0	0.500	0.812	0.917
IFNG	IL12RB2	9606.ENSP00000229135	9606.ENSP00000262345	0	0	0	0	0.207	0	0.650	0.833	0.949
IFNG	IL12RB1	9606.ENSP00000229135	9606.ENSP00000470788	0	0	0	0	0.205	0	0.650	0.852	0.955
IFNG	IL23R	9606.ENSP00000229135	9606.ENSP00000321345	0	0	0	0	0.117	0	0.650	0.879	0.959
IFNG	IL6	9606.ENSP00000229135	9606.ENSP00000385675	0	0	0	0	0.128	0	0	0.981	0.983
IFNG	STAT1	9606.ENSP00000229135	9606.ENSP00000354394	0	0	0	0	0.131	0	0.500	0.971	0.986
IFNG	JAK1	9606.ENSP00000229135	9606.ENSP00000499900	0	0	0	0	0.057	0	0.900	0.939	0.993
IFNG	JAK2	9606.ENSP00000229135	9606.ENSP00000371067	0	0	0	0	0.109	0	0.900	0.989	0.998
IFNG	IFNGR1	9606.ENSP00000229135	9606.ENSP00000356713	0	0	0.284	0	0	0.985	0.900	0.998	0.999
IFNG	IFNGR2	9606.ENSP00000229135	9606.ENSP00000371425	0	0	0	0	0	0.926	0.500	0.997	0.999
IFNGR1	STAT1	9606.ENSP00000356713	9606.ENSP00000354394	0	0	0	0	0.124	0.837	0.900	0.977	0.999
IFNGR1	IL6	9606.ENSP00000356713	9606.ENSP00000385675	0	0	0	0	0.087	0	0.650	0.788	0.926
IFNGR1	SOCS1	9606.ENSP00000356713	9606.ENSP00000496577	0	0	0	0	0.083	0.198	0.500	0.933	0.972
IFNGR1	TYK2	9606.ENSP00000356713	9606.ENSP00000431885	0	0	0	0	0.083	0.065	0.900	0.760	0.976
IFNGR1	IFNGR2	9606.ENSP00000356713	9606.ENSP00000371425	0	0	0	0	0.189	0.900	0.500	0.999	0.999
IFNGR1	JAK2	9606.ENSP00000356713	9606.ENSP00000371067	0	0	0	0	0.146	0.525	0.900	0.993	0.999
IFNGR1	JAK1	9606.ENSP00000356713	9606.ENSP00000499900	0	0	0	0	0.151	0.634	0.900	0.997	0.999
IFNGR2	STAT1	9606.ENSP00000371425	9606.ENSP00000354394	0	0	0	0	0.106	0	0.500	0.819	0.912
IFNGR2	JAK2	9606.ENSP00000371425	9606.ENSP00000371067	0	0	0	0	0.105	0.345	0.900	0.995	0.999
IFNGR2	IL12RB1	9606.ENSP00000371425	9606.ENSP00000470788	0	0	0	0	0.105	0	0	0.893	0.900
IFNGR2	JAK1	9606.ENSP00000371425	9606.ENSP00000499900	0	0	0	0	0.079	0.095	0.500	0.996	0.998
IL12RB1	IL12RB2	9606.ENSP00000470788	9606.ENSP00000262345	0	0	0	0	0.082	0.228	0.900	0.999	0.999
IL12RB1	STAT3	9606.ENSP00000470788	9606.ENSP00000264657	0	0	0	0	0.085	0.091	0.900	0.751	0.976
IL12RB1	IL23R	9606.ENSP00000470788	9606.ENSP00000321345	0	0	0	0	0.102	0.852	0.900	0.998	0.999
IL12RB1	JAK2	9606.ENSP00000470788	9606.ENSP00000371067	0	0	0	0	0.112	0.087	0.900	0.988	0.998
IL12RB1	IL6	9606.ENSP00000470788	9606.ENSP00000385675	0	0	0	0	0.101	0.203	0.650	0.720	0.920
IL12RB1	TYK2	9606.ENSP00000470788	9606.ENSP00000431885	0	0	0	0	0.106	0.095	0.900	0.997	0.999
IL12RB1	JAK1	9606.ENSP00000470788	9606.ENSP00000499900	0	0	0	0	0.084	0.091	0.900	0.602	0.962
IL12RB2	IL6	9606.ENSP00000262345	9606.ENSP00000385675	0	0	0.242	0	0	0	0.650	0.805	0.943
IL12RB2	TYK2	9606.ENSP00000262345	9606.ENSP00000431885	0	0	0	0	0	0	0.900	0.946	0.994
