perturbation_label	drug_name
[('(R)-Verapamil (hydrochloride)', 0.05, 'uM')]	(R)-Verapamil (hydrochloride)
[('(R)-Verapamil (hydrochloride)', 0.5, 'uM')]	(R)-Verapamil (hydrochloride)
[('(R)-Verapamil (hydrochloride)', 5.0, 'uM')]	(R)-Verapamil (hydrochloride)
[('(S)-Crizotinib', 0.05, 'uM')]	(S)-Crizotinib
[('(S)-Crizotinib', 0.5, 'uM')]	(S)-Crizotinib
[('(S)-Crizotinib', 5.0, 'uM')]	(S)-Crizotinib
[('18β-Glycyrrhetinic acid', 0.05, 'uM')]	18β-Glycyrrhetinic acid
[('18β-Glycyrrhetinic acid', 0.5, 'uM')]	18β-Glycyrrhetinic acid
[('18β-Glycyrrhetinic acid', 5.0, 'uM')]	18β-Glycyrrhetinic acid
[('4EGI-1', 0.05, 'uM')]	4EGI-1
[('4EGI-1', 0.5, 'uM')]	4EGI-1
[('4EGI-1', 5.0, 'uM')]	4EGI-1
[('5-Azacytidine', 0.05, 'uM')]	5-Azacytidine
[('5-Azacytidine', 0.5, 'uM')]	5-Azacytidine
[('5-Azacytidine', 5.0, 'uM')]	5-Azacytidine
[('5-Fluorouracil', 0.05, 'uM')]	5-Fluorouracil
[('5-Fluorouracil', 0.5, 'uM')]	5-Fluorouracil
[('5-Fluorouracil', 5.0, 'uM')]	5-Fluorouracil
[('8-Hydroxyquinoline', 0.05, 'uM')]	8-Hydroxyquinoline
[('8-Hydroxyquinoline', 0.5, 'uM')]	8-Hydroxyquinoline
[('8-Hydroxyquinoline', 5.0, 'uM')]	8-Hydroxyquinoline
[('9-ING-41', 0.05, 'uM')]	9-ING-41
[('9-ING-41', 0.5, 'uM')]	9-ING-41
[('9-ING-41', 5.0, 'uM')]	9-ING-41
[('APTO-253', 0.05, 'uM')]	APTO-253
[('APTO-253', 0.5, 'uM')]	APTO-253
[('APTO-253', 5.0, 'uM')]	APTO-253
[('AT7519', 0.05, 'uM')]	AT7519
[('AT7519', 0.5, 'uM')]	AT7519
[('AT7519', 5.0, 'uM')]	AT7519
[('AZD-7648', 0.05, 'uM')]	AZD-7648
[('AZD-7648', 0.5, 'uM')]	AZD-7648
[('AZD-7648', 5.0, 'uM')]	AZD-7648
[('AZD-8055', 0.05, 'uM')]	AZD-8055
[('AZD-8055', 0.5, 'uM')]	AZD-8055
[('AZD-8055', 5.0, 'uM')]	AZD-8055
[('AZD1390', 0.05, 'uM')]	AZD1390
[('AZD1390', 0.5, 'uM')]	AZD1390
[('AZD1390', 5.0, 'uM')]	AZD1390
[('AZD2858', 0.05, 'uM')]	AZD2858
[('AZD2858', 0.5, 'uM')]	AZD2858
[('AZD2858', 5.0, 'uM')]	AZD2858
[('Abemaciclib', 0.05, 'uM')]	Abemaciclib
[('Abemaciclib', 0.5, 'uM')]	Abemaciclib
[('Abemaciclib', 5.0, 'uM')]	Abemaciclib
[('Abiraterone acetate', 0.05, 'uM')]	Abiraterone acetate
[('Abiraterone acetate', 0.5, 'uM')]	Abiraterone acetate
[('Abiraterone acetate', 5.0, 'uM')]	Abiraterone acetate
[('Acetazolamide', 0.05, 'uM')]	Acetazolamide
[('Acetazolamide', 0.5, 'uM')]	Acetazolamide
[('Acetazolamide', 5.0, 'uM')]	Acetazolamide
[('Acetohexamide', 0.05, 'uM')]	Acetohexamide
[('Acetohexamide', 0.5, 'uM')]	Acetohexamide
[('Acetohexamide', 5.0, 'uM')]	Acetohexamide
[('Adagrasib', 0.05, 'uM')]	Adagrasib
[('Adagrasib', 0.5, 'uM')]	Adagrasib
[('Adagrasib', 5.0, 'uM')]	Adagrasib
[('Adenine', 0.05, 'uM')]	Adenine
[('Adenine', 0.5, 'uM')]	Adenine
[('Adenine', 5.0, 'uM')]	Adenine
[('Adenosine', 0.05, 'uM')]	Adenosine
[('Adenosine', 0.5, 'uM')]	Adenosine
[('Adenosine', 5.0, 'uM')]	Adenosine
[('Afatinib', 0.05, 'uM')]	Afatinib
[('Afatinib', 0.5, 'uM')]	Afatinib
[('Afatinib', 5.0, 'uM')]	Afatinib
[('Aliskiren', 0.05, 'uM')]	Aliskiren
[('Aliskiren', 0.5, 'uM')]	Aliskiren
[('Aliskiren', 5.0, 'uM')]	Aliskiren
[('Allantoin', 0.05, 'uM')]	Allantoin
[('Allantoin', 0.5, 'uM')]	Allantoin
[('Allantoin', 5.0, 'uM')]	Allantoin
[('Allopurinol', 0.05, 'uM')]	Allopurinol
[('Allopurinol', 0.5, 'uM')]	Allopurinol
[('Allopurinol', 5.0, 'uM')]	Allopurinol
